"Plot","Real.rich","litter2012","ave.biomass","LAI","mean.N.change","poll_total","flwr_total","Mass.loss.2month","Damage_effect","bugs","bug.rich"
"X2",1,79.05,32.97333333,1.67,-0.0015,20,43113.5,3.362,0,9,7
"X3",4,74.23,82.41,5.53,-0.0275,53,2126.142857,3.718,0.300119481,7,6
"X4",2,34.5,62.92666667,3.04,0.006,150,324.4285714,3.521,0.419527851,4,2
"X7",1,36.32,34.38333333,3.42,-0.0575,0,0,3.328,0,5,3
"X8",3,21.46,147.0566667,7.14,-0.007,0,0,3.608,2.746009281,4,4
"X9",1,37.26,33.80333333,1.01,0.0415,0,0,3.627,0,11,7
"X11",2,12.9,61.24,2.68,0.0075,115,12919.5,4.12,0.028124464,4,4
"X12",4,22.2,68.74,7.28,0.03,44,12420.75,4.074,3.4555982,31,15
"X13",1,15.2,69.50333333,3.76,-0.0245,83,19064.22222,3.473,0,24,14
"X14",1,11.19,28.11333333,1.12,0.006,194,498.5384615,3.41,0,31,10
"X15",2,35.29,75.93333333,4.83,-0.001,203,14232.07143,3.993,0.560437489,10,7
"X16",4,84.45,97.67,6.45,0.041,0,0,4.463,1.344826307,28,10
"X17",3,53.67,69.89333333,6.32,0.0295,0,0,4.194,0.926850838,5,5
"X18",1,42.79,40.32333333,3.98,0.0055,216,292.6428571,3.627,0,12,7
"X19",2,30.66,29.12333333,2.65,-0.009,0,0,4.183,-0.108159428,16,6
"X21",2,55.82,48.05666667,6.12,-0.008,239,665.9333333,3.89,0.41142449,24,8
"X22",3,141.6,97.24666667,5,0.032,44,1190.857143,3.905,0.301210364,24,12
"X23",4,22.45,52.50666667,4.95,0.069,84,636.75,3.865,0.766006361,17,13
"X24",2,15.65,29.83666667,4.25,0.002,266,2394.888889,3.315,0.295166232,8,7
"X25",2,9.15,49.11,6.3,0.006,0,0,4.179,1.344826307,10,6
"X26",2,6.91,37.09,2.45,-0.008,0,0,3.463,0,19,11
"X27",4,32.89,79.72,8.03,-0.008,119,9696.257143,3.7126,0.350876462,25,6
"X28",1,8.64,2.99,0.04,-0.079,20,68.1,3.9325,0,5,4
"X29",1,7.75,122.5233333,8.64,-0.046,0,0,4.154,0,11,7
"X31",2,54.49,80.83,6.13,0.049,157,51007.125,4.2516,0.011146521,51,16
"X32",1,0,19.64,2.68,0.0585,255,4859.818182,3.507,0,3,3
"X33",1,17.89,72.17666667,6.59,0.052,31,47376.57143,4.007,0,28,10
"X34",2,9.93,66.92666667,7.59,0.046,0,6,4.504,1.48660177,3,3
"X36",4,9.67,160.4466667,6.01,0.0435,0,0,3.967,1.811223967,10,5
"X37",4,86.37,78.87,7.64,0.0295,280,8941.3,3.393,0.669628249,8,6
"X39",2,14.25,47.56666667,1.99,0.0305,0,0,4.071,-0.057856023,6,5
"X40",4,8.7,89.23666667,5.68,-0.001,0,0,4.544,0.27255687,8,5
"X41",1,7.05,27.55666667,3.58,0.118,115,763.4,3.737,0,33,10
"X42",1,9.86,8.863333333,0.94,0.112,0,0,3.982,0,7,5
"X43",1,4.65,55.23,7.55,0.111,121,27378.75,3.915,0,41,15
"X44",1,3.92,46.06333333,2,0.114,202,1141.571429,3.839,0,27,10
"X45",2,0,22.94333333,1.26,0.0625,197,3711.327273,3.521,0,4,4
"X46",2,16.68,57.98,9.35,0.127,0,0,4.179,0.597741548,7,6
"X47",1,27.63,23.60333333,1.41,0.0835,0,0,3.927,0,9,6
"X48",1,25.73,31.28666667,4.46,0.0895,310,496.5333333,4.039,0,6,4
"X49",1,50.46,49.81333333,5.79,0.1385,166,580.75,4.32,0,7,5
"X50",1,10.61,68.30666667,6.11,0.139,40,1682.428571,4.147,0,35,7
"X51",2,52.24,111.3833333,7.74,0.1455,269,38955.75,4.756,0.180880302,33,11
"X52",1,18.27,22.12,0.31,0.1355,10,5600.25,3.958,0,17,8
"X53",1,20.88,111.8666667,9.62,0.162,0,0,3.908,0,4,4
"X54",1,4.37,23.60666667,1.93,0.122,176,2178.5,3.766,0,4,4
"X55",1,0,30.87666667,1.07,0.111,163,3128.636364,3.517,0,4,4
"X56",4,43.1,97.29,3.38,0.1425,91,194.625,4.06,0.962981352,3,2
"X57",4,19.3,39.57333333,8.11,0.152,0,0,4.149,0.485983802,5,4
"X58",2,49.38,41.60666667,3.61,0.06,154,101.2142857,4.086,0.558460998,4,3
"X59",2,64.18,71.40333333,6.18,0.069,214,709.8571429,4.121,0.069615561,7,4
"X60",1,10.69,29.92666667,2.4,0.087,0,0,3.399,0,11,7
"X61",4,36.34,87.31666667,8.21,0.1065,107,11214.83333,4.522,2.646733095,4,1
"X62",2,6.22,61.94666667,7.2,0.062,44,917.3333333,4.922,0.148811829,17,3
"X63",2,7.14,49.69,6.6,0.073,151,1462.535714,4.109,-0.24887516,17,2
"X64",2,16.08,28.05666667,11.59,0.07,0,0,3.965,0.264720403,0,0
"X65",1,0.85,15.22666667,3.74,0.0455,0,0,4.002,0,0,0
"X66",1,3.67,68.82666667,4.22,0.1,241,238.5,3.86,0,0,0
"X67",3,20.26,57.93,6.51,0.092,207,30970.86364,3.182,-0.216611133,35,11
"X68",2,38.32,47.34,4.41,0.081,201,23761.875,2.956,-0.115958077,27,8
"X69",1,41.87,43.87666667,4.77,0.1135,176,306.125,2.987,0,5,3
"X71",1,14.56,25.96666667,3.95,0.0915,0,0,3.539,0,5,5
"X72",1,0.9,16.24333333,1.44,0.09,26,67348.75,3.791,0,0,0
"X73",2,1.66,34.46,3.57,0.112,330,2903,3.333,-0.035800112,8,5
"X74",4,38.48,136.9666667,8.47,0.1295,61,15017.425,3.88,-0.075974508,25,9
"X75",1,48.59,65.33,7.56,0.091,43,993.3333333,4.363,0,6,3
"X76",1,0,15.05666667,0.68,0.131,97,1283.2,2.934,0,5,4
"X77",4,33.68,72.25,6.69,0.1405,135,1182.833333,3.447,0.792025214,18,4
"X78",1,41.41,74.95333333,8.96,0.1485,0,0,3.743,0,5,4
