"","","Estimate","Cond. SE","F value","Pr(>F)","","","","",""
"1","Biomass","12.5257825126687","3.17711867080003","15.5432867753535","0.000155701439213378",NA,"0.106684978488376","0.770078869174876","0.546574803264396","795.934988954389"
"2","Biomass","15.7845734480339","2.63503157031862","35.8834387151095","4.73844343996515e-08","0.294407830082506",NA,NA,NA,"835.691681674036"
"3","LAI","0.704180852374275","0.248159942099159","8.05202408755409","0.0129973956051004",NA,"0.0793667607899978","0.781185202977985","7.35055096475832e-05","312.02327253463"
"4","LAI","0.964398305084744","0.229790910261635","17.6135617338037","6.56537257291553e-05","0.169992821779983",NA,NA,NA,"406.343090369142"
"5","Damage_effect","0.299076886806523","0.0541000861947682","30.56115675426","4.82644441407199e-07",NA,"0.266134066186943","0.380038070895334","0.788048977027072","140.626778437245"
"6","Damage_effect","0.3046129248","0.0527579866788475","33.3365172062724","1.20394126739516e-07","0.279348836271553",NA,NA,NA,"147.367073288153"
"7","Mass.loss.2month","0.076065244270165","0.0442225144422822","2.95859598570813","0.088412632371174",NA,"0.0317580204293419","0.390984355717093","0.930447191340926","86.6143287942096"
"8","Mass.loss.2month","0.104052033898305","0.0405534454450447","6.58333009242937","0.012026426049929","0.0711070781949301",NA,NA,NA,"101.062454952967"
"9","log_bug_rich","0.0608386875624846","0.064308082091806","0.895011382180762","0.358020329282461",NA,"0.0101015389117611","0.3340961760399","0.568705065081523","155.683205317301"
"10","log_bug_rich","0.0586303166104309","0.0599187335210112","0.957456889050693","0.330573026469662","0.011010635813238",NA,NA,NA,"169.767303569841"
"11","log_bugs","0.118544165980135","0.0969852872920494","1.49399332744253","0.229965562204198",NA,"0.0153193217845468","0.522820610314301","0.599615376790871","208.985418757163"
"12","log_bugs","0.0877605939362692","0.0900353847708293","0.950107306069455","0.332425795106499","0.0109270400636196",NA,NA,NA,"241.436889137366"
"13","log_poll_total","0.0378476338787629","0.15199700279506","0.0620022456297054","0.805050195215555",NA,"0.00022107779074211","0.884758836012643","1","257.179992047642"
"14","log_poll_total","0.0285152020885536","0.21997741475698","0.0168033827543869","0.897163563403271","0.000195350002482941",NA,NA,NA,"398.661582909459"
"15","log_flwr_total","0.279202043624103","0.223725537725168","1.55742113647873","0.21728503099769",NA,"0.0048467875314276","0.902642845035385","1","322.556747049126"
"16","log_flwr_total","0.317590324424897","0.395155976553656","0.645947789215501","0.423781128530868","0.00745502594982173",NA,NA,NA,"501.754583191679"
"17","litter2012","8.51190595112203","2.29613885930408","13.7422338864041","0.00044946695742292",NA,"0.139666820644707","0.214422734048345","0.202198200862545","805.500205027705"
"18","litter2012","8.39666949152544","2.24890835296626","13.9402512968515","0.000338306943303437","0.13948585395733",NA,NA,NA,"807.804439249865"
"19","mean.N.change","-0.00404617425135171","0.00587923555765386","0.473638985352141","0.493023859662955",NA,"0.00537935384249134","0.0595875514930169","1","-241.527833143973"
"20","mean.N.change","-0.0042902542372881","0.00581848649223698","0.543683304672009","0.46291725930299","0.00628218356223664",NA,NA,NA,"-240.655725318982"
